inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks,school_id_clean,date_clean,has_electricity_clean,has_drinking_water_clean,has_functional_toilet_clean,has_boundary_wall_clean,has_playground_clean,infrastructure_deficit_index
INSP02966,2025/04/02,sch_0476,H,True,True,Yes,,Fariq Tripathi,Good condition,SCH0476,2025-04-02,,True,True,True,,0.0
INSP00970,13.05.2025,SCH0337,True,True,Yes,True,H,Unnati Kulkarni,Good condition,SCH0337,,True,True,True,True,,0.0
INSP01386,2025/06/26,SCH0127,True,True,False,Working,Functional,Girik Natt,Toilets locked,SCH0127,2025-06-26,True,True,False,True,True,0.14285714285714285
INSP01234,02-Jun-2025,SCH0372,False,No,True,True,Broken,Rudra Kurian,Good condition,SCH0372,,False,False,True,True,False,0.42857142857142855
INSP02997,2025/10/29,sch0517,True,True,True,True,False,Mohammed Dara,Average,SCH0517,2025-10-29,True,True,True,True,False,0.14285714285714285
INSP02408,10-30-2025,sch_0334,,False,True,False,True,,No remarks,SCH0334,,,False,True,False,True,0.2857142857142857
INSP02849,23.07.2025,S0229,Y,True,True,Yes,Broken,Meera Sachar,Needs repair,SCH0229,,True,True,True,True,False,0.14285714285714285
INSP01240,2025-12-29,0072,True,1,haan,False,0,Shivani Konda,Toilets locked,SCH0072,,True,True,True,False,False,0.2857142857142857
INSP02649,2026-01-20,SCH0516,True,Yes,Working,Haan,1,Yachana Mody,Good condition,SCH0516,,True,True,True,True,True,0.0
INSP01667,2025/05/12,sch_0182,Hai,Hai,haan,na,haan,Eiravati Choudhry,Good condition,SCH0182,2025-05-12,True,True,True,,True,0.0
INSP02398,05/01/2026,SCH0221,Yes,No,Haan,0,Yes,Ira Choudhary,No remarks,SCH0221,,True,False,True,False,True,0.2857142857142857
INSP01451,2025-12-29,S0026,True,False,True,True,Yes,,Needs repair,SCH0026,,True,False,True,True,True,0.14285714285714285
INSP00613,2025-10-04,SCH0092,Haan,True,Available,,False,Maya Chada,Good condition,SCH0092,,True,True,,,False,0.14285714285714285
INSP01189,2025-12-25,sch0063,True,0,True,True,False,Caleb Lala,Toilets locked,SCH0063,,True,False,True,True,False,0.2857142857142857
INSP00832,02-Oct-2025,S0509,Broken,,True,True,False,Xavier Gade,,SCH0509,,False,,True,True,False,0.2857142857142857
INSP02501,2025/05/10,SCH-0033,Available,True,True,No,Nahi,Kamya Ravi,Toilets locked,SCH0033,2025-05-10,,True,True,False,False,0.2857142857142857
INSP00333,10/09/2025,SCH0477,Available,,haan,False,True,Jasmit Ramachandran,Toilets locked,SCH0477,,,,True,False,True,0.14285714285714285
INSP02727,2025/10/06,SCH0522,H,Haan,Working,Working,Yes,Chasmum Uppal,Good condition,SCH0522,2025-10-06,,True,True,True,True,0.0
INSP00145,22/11/2025,sch_0215,No,True,True,True,Kharab,Yachana Mangat,Toilets locked,SCH0215,,False,True,True,True,False,0.2857142857142857
INSP02233,23-Oct-2025,SCH0428,True,True,True,True,Nahi,Samaksh Khare,Average,SCH0428,,True,True,True,True,False,0.14285714285714285
INSP01671,2025-12-22,S0042,True,Functional,Working,Under Repair,H,Manan Mangat,Needs repair,SCH0042,,True,True,True,,,0.0
INSP01776,14/09/2025,S0403,False,1,Y,1,,Manbir Sodhi,Needs repair,SCH0403,,False,True,True,True,,0.14285714285714285
INSP01733,23-Oct-2025,SCH0175,Y,H,False,True,True,Qarin Nayar,Toilets locked,SCH0175,,True,,False,True,True,0.14285714285714285
INSP02204,06.02.2026,0010,0,True,1,No,Yes,,,SCH0010,,False,True,True,False,True,0.2857142857142857
INSP02552,04-08-2025,SCH-0140,False,True,True,Functional,Yes,Gaurangi Ratti,Toilets locked,SCH0140,,False,True,True,True,True,0.14285714285714285
INSP00219,09.09.2025,sch_0325,N,Yes,True,True,False,Zehaan Deshpande,Average,SCH0325,,False,True,True,True,False,0.2857142857142857
INSP00292,25.11.2025,0371,True,True,True,False,1,Chasmum Ganguly,No remarks,SCH0371,,True,True,True,False,True,0.14285714285714285
INSP02177,26/04/2025,SCH0583,Hai,True,,na,Working,Jonathan Jain,Good condition,SCH0583,,True,True,,,True,0.0
INSP00818,16/09/2025,SCH0078,True,False,True,Hai,False,Krishna Gaba,Average,SCH0078,,True,False,True,True,False,0.2857142857142857
INSP00602,2025-11-20,sch0360,True,True,True,Y,False,Umang Sagar,Average,SCH0360,,True,True,True,True,False,0.14285714285714285
INSP00018,15/03/2026,SCH0582,Hai,Yes,H,True,N,Unnati Goel,,SCH0582,,True,True,,True,False,0.14285714285714285
INSP00171,02/04/2025,SCH0067,False,True,Kharab,na,Broken,Sneha Ghosh,Good condition,SCH0067,,False,True,False,,False,0.42857142857142855
INSP01738,02-Oct-2025,S0230,True,True,Hai,Nahi hai,Nahi,Osha Bajwa,,SCH0230,,True,True,True,,False,0.14285714285714285
INSP02283,21-Sep-2025,S0559,True,Haan,1,Haan,haan,Sai Warrior,Average,SCH0559,,True,True,True,True,True,0.0
INSP02803,2026-02-19,SCH-0238,Broken,Available,True,na,Nahi hai,Ekaraj Sehgal,,SCH0238,,False,,True,,,0.14285714285714285
INSP01408,10.03.2026,SCH0274,,True,Haan,Nahi,H,Kamala Roy,Average,SCH0274,,,True,True,False,,0.14285714285714285
INSP00179,12-09-2025,SCH0577,Working,H,True,True,Yes,Riya Kant,Good condition,SCH0577,,True,,True,True,True,0.0
INSP01337,2025-06-03,SCH0011,H,1,True,No,False,Imaran Tandon,Toilets locked,SCH0011,,,True,True,False,False,0.2857142857142857
INSP01815,2025-05-01,sch_0240,False,False,True,True,Not Available,Lavanya Choudhry,Average,SCH0240,,False,False,True,True,,0.2857142857142857
INSP02205,07/11/2025,sch0037,True,True,Functional,Nahi,Nahi,Rudra Bail,Toilets locked,SCH0037,,True,True,True,False,False,0.2857142857142857
INSP01412,05-Aug-2025,SCH0596,Nahi,Working,Functional,na,na,Sai Bhasin,Average,SCH0596,,False,True,True,,,0.14285714285714285
INSP02746,13.11.2025,SCH0422,1,True,Haan,Hai,,Isaac Kalla,,SCH0422,,True,True,True,True,,0.0
INSP01663,06/03/2026,sch_0456,0,1,haan,False,,Neel Ganesh,Needs repair,SCH0456,,False,True,True,False,,0.2857142857142857
INSP01227,29/06/2025,SCH0398,True,False,,True,True,Isaiah Mangat,,SCH0398,,True,False,,True,True,0.14285714285714285
INSP02025,2025-10-08,SCH0219,Haan,True,Functional,Hai,Available,Bhanumati Chaudhari,,SCH0219,,True,True,True,True,,0.0
